BMGAX,BlackRock Mid-Cap Growth Equity Inv A,2018-03-23,0.0,20.84,20.17
SHSAX,BlackRock Health Sciences Opps Inv A,2018-03-23,0.0,54.99,54.89
GILDX,Guggenheim Limited Duration A,2018-03-23,0.0,24.77,24.82
SHSKX,BlackRock Health Sciences Opps K,2018-03-23,0.0,57.63,57.54
BHSRX,BlackRock Health Sciences Opps R,2018-03-23,0.0,53.89,53.85
BSTSX,BlackRock Technology Opportunities Svc,2018-03-23,0.0,26.55,25.57
SHSSX,BlackRock Health Sciences Opps Instl,2018-03-23,0.0,57.6,57.49
GMDFX,GMO Emerging Country Debt IV,2018-03-23,0.0,28.57,29.52
RMBIX,RMB Mendon Financial Long/Short I,2018-03-23,0.0,18.34,17.95
CULIX,Calvert Ultra-Short Duration Income I,2018-03-23,0.0,15.62,15.64
CDSIX,Calvert Short Duration Income I,2018-03-23,0.0,16.03,16.14
GILHX,Guggenheim Limited Duration Instl,2018-03-23,0.0,24.76,24.81
CULAX,Calvert Ultra-Short Duration Income A,2018-03-23,0.0,15.61,15.63
RMBFX,RMB Mendon Financial Long/Short A,2018-03-23,0.0,18.18,17.8
CUBAX,Calvert Absolute Return Bond A,2018-03-23,0.0,15.02,15.15
MKLVX,BlackRock Advantage LgCp Val Retiremt,2018-03-23,0.0,15.7,17.71
CDICX,Calvert Short Duration Income C,2018-03-23,0.0,15.87,15.98
GIFPX,Guggenheim Floating Rate Strats P,2018-03-23,0.0,26.02,26.03
GMCDX,GMO Emerging Country Debt III,2018-03-23,0.0,28.61,29.57
GIFIX,Guggenheim Floating Rate Strats Instl,2018-03-23,0.0,26.03,26.04
BMGCX,BlackRock Mid-Cap Growth Equity Inv C,2018-03-23,0.0,16.45,15.98
SHISX,BlackRock Health Sciences Opps Svc,2018-03-23,0.0,55.19,55.09
GIFAX,Guggenheim Floating Rate Strats A,2018-03-23,-0.01,26.01,26.02
GIFCX,Guggenheim Floating Rate Strats C,2018-03-23,-0.01,26.0,26.01
GILPX,Guggenheim Limited Duration P,2018-03-23,-0.01,24.76,24.82
SSIZX,Sierra Strategic Income A,2018-03-23,-0.01,21.2,21.4
SSIRX,Sierra Strategic Income R,2018-03-23,-0.01,21.12,21.32
SSIYX,Sierra Strategic Income Y,2018-03-23,-0.01,21.06,21.26
NFRFX,Nuveen Symphony Floating Rate Income R6,2018-03-23,-0.01,19.66,19.66
NFRAX,Nuveen Symphony Floating Rate Income A,2018-03-23,-0.01,19.6,19.61
NFFCX,Nuveen Symphony Floating Rate Income C,2018-03-23,-0.01,19.6,19.61
FNMIX,Fidelity New Markets Income,2018-03-23,-0.01,15.88,16.22
OARAX,Oppenheimer Global Multi Strategies A,2018-03-23,-0.02,22.67,23.12
NIMEX,Nuveen Equity Market Neutral I,2018-03-23,-0.03,24.76,24.34
NMAEX,Nuveen Equity Market Neutral A,2018-03-23,-0.03,24.46,24.06
RWDIX,Redwood Managed Volatility I,2018-03-23,-0.02,15.16,15.64
KIFCX,Salient Select Income C,2018-03-23,-0.03,20.2,21.82
GIOPX,Guggenheim Macro Opportunities P,2018-03-23,-0.04,26.78,26.75
GIOIX,Guggenheim Macro Opportunities Instl,2018-03-23,-0.05,26.8,26.77
GIOAX,Guggenheim Macro Opportunities A,2018-03-23,-0.05,26.77,26.74
GIOCX,Guggenheim Macro Opportunities C,2018-03-23,-0.05,26.75,26.72
RWDYX,Redwood Managed Volatility Y,2018-03-23,-0.03,15.24,15.72
NCOIX,Nuveen Symphony Credit Opportunities I,2018-03-23,-0.04,19.94,20.18
NPSFX,Nuveen Preferred Secs & Inc R6,2018-03-23,-0.04,17.38,17.64
VASIX,Vanguard LifeStrategy Income Inv,2018-03-23,-0.04,15.41,15.54
MIJFX,Matthews Japan Instl,2018-03-23,-0.08,25.1,24.44
JARIX,James Alpha Global Real Estate Invsmts I,2018-03-23,-0.06,18.44,19.15
JACRX,James Alpha Global Real Estate Invsmts C,2018-03-23,-0.06,18.09,18.81
JAREX,James Alpha Global Real Estate Invsmts A,2018-03-23,-0.06,17.94,18.65
KSRYX,Salient Tactical Real Estate Instl,2018-03-23,-0.11,32.07,34.9
KSRAX,Salient Tactical Real Estate A,2018-03-23,-0.11,31.07,33.83
FFSRX,Salient Tactical Real Estate Inv,2018-03-23,-0.11,31.02,33.78
FRNAX,Fidelity Advisor Simplicity RMD Income A,2018-03-23,-0.23,57.63,58.2
FRNIX,Fidelity Advisor Simplicity RMD Income I,2018-03-23,-0.23,57.62,58.19
FIRNX,Fidelity Simplicity RMD Income,2018-03-23,-0.23,57.62,58.19
FRNTX,Fidelity Advisor Simplicity RMD Income M,2018-03-23,-0.23,57.61,58.18
FIRMX,Fidelity Managed Retirement Income,2018-03-23,-0.23,57.56,58.19
FRIMX,Fidelity Advisor Managed Retiremt Inc I,2018-03-23,-0.23,57.55,58.18
